"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29554","Заполнение обязательных параметров сложной формы","","2026-06-07","passed","2026-06-07","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","requiredParamFillFormTest"
"","619","pdfFromZipTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","pdfFromZipTest"
"","702","xmlFromZipTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","xmlFromZipTest"
"","8","jaksonFromFileTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromFileTest"
"","15772","Проверка валидации параметра 'Номер телефон' сложной формы","","2026-06-07","passed","2026-06-07","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutPhoneNumberTest"
"","17013","Заполнение всех параметров простой формы","","2026-06-07","passed","2026-06-07","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","fillAllParamSimpleFormTest"
"","39","csvFromZipTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","csvFromZipTest"
"","0","Проверка поиска по объявлениям Авито с запросом {0} по городу {1}","","2026-06-07","skipped","2026-06-07","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchByTownTest"
"","16543","Проверка валидации параметра 'Имя' сложной формы","","2026-06-07","passed","2026-06-07","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutFirstNameTest"
"","68155","Заполнение всех параметров сложной формы","","2026-06-07","passed","2026-06-07","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","fillAllParamFormTest"
"","0","Проверка поиска по объявлениям Авито c запросом {0}","","2026-06-07","skipped","2026-06-07","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchTest"
"","0","Проверка заголовков подкатегории {0}","","2026-06-07","skipped","2026-06-07","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","categoryHeaderTest"
"","14887","Проверка валидации параметра 'email' простой формы","","2026-06-07","passed","2026-06-07","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","withWrongEmailSimpleTest"
"","15779","Проверка валидации параметра 'Фамилия' сложной формы","","2026-06-07","passed","2026-06-07","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutSecondNameTest"
"","362","jaksonFromModelTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromModelTest"
