"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Проверка валидации параметра 'Имя' сложной формы","","2026-06-07","broken","2026-06-07","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutFirstNameTest"
"","80","Заполнение всех параметров простой формы","","2026-06-07","broken","2026-06-07","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","fillAllParamSimpleFormTest"
"","25","Проверка валидации параметра 'Фамилия' сложной формы","","2026-06-07","broken","2026-06-07","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutSecondNameTest"
"","9","jaksonFromFileTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromFileTest"
"","41","csvFromZipTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","csvFromZipTest"
"","0","Проверка заголовков подкатегории {0}","","2026-06-07","skipped","2026-06-07","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","categoryHeaderTest"
"","66","Проверка валидации параметра 'Номер телефон' сложной формы","","2026-06-07","broken","2026-06-07","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutPhoneNumberTest"
"","0","Проверка поиска по объявлениям Авито c запросом {0}","","2026-06-07","skipped","2026-06-07","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchTest"
"","2283","pdfFromZipTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","pdfFromZipTest"
"","799","xmlFromZipTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","xmlFromZipTest"
"","0","Проверка поиска по объявлениям Авито с запросом {0} по городу {1}","","2026-06-07","skipped","2026-06-07","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchByTownTest"
"","436","jaksonFromModelTest()","","2026-06-07","passed","2026-06-07","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromModelTest"
"","58","Заполнение обязательных параметров сложной формы","","2026-06-07","broken","2026-06-07","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","requiredParamFillFormTest"
"","640","Заполнение всех параметров сложной формы","","2026-06-07","broken","2026-06-07","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","fillAllParamFormTest"
"","69","Проверка валидации параметра 'email' простой формы","","2026-06-07","broken","2026-06-07","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","withWrongEmailSimpleTest"
