"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","361","jaksonFromModelTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromModelTest"
"","2548","pdfFromZipTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","pdfFromZipTest"
"","0","Проверка заголовков подкатегории {0}","","2026-06-06","skipped","2026-06-06","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","categoryHeaderTest"
"","2","Заполнение всех параметров сложной формы","","2026-06-06","skipped","2026-06-06","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","fillAllParamFormTest"
"","0","Проверка валидации параметра 'Фамилия' сложной формы","","2026-06-06","skipped","2026-06-06","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutSecondNameTest"
"","0","Проверка валидации параметра 'Номер телефон' сложной формы","","2026-06-06","skipped","2026-06-06","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutPhoneNumberTest"
"","75","csvFromZipTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","csvFromZipTest"
"","0","Проверка валидации параметра 'Имя' сложной формы","","2026-06-06","skipped","2026-06-06","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutFirstNameTest"
"","0","Проверка поиска по объявлениям Авито c запросом {0}","","2026-06-06","skipped","2026-06-06","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchTest"
"","758","xmlFromZipTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","xmlFromZipTest"
"","0","Заполнение обязательных параметров сложной формы","","2026-06-06","skipped","2026-06-06","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","requiredParamFillFormTest"
"","11","jaksonFromFileTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromFileTest"
"","0","Заполнение всех параметров простой формы","","2026-06-06","skipped","2026-06-06","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","fillAllParamSimpleFormTest"
"","0","Проверка валидации параметра 'email' простой формы","","2026-06-06","skipped","2026-06-06","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","withWrongEmailSimpleTest"
"","0","Проверка поиска по объявлениям Авито с запросом {0} по городу {1}","","2026-06-06","skipped","2026-06-06","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchByTownTest"
